scene_id,scenario_type,method,message,target_id,choice_id,listener,confidence,reason_code,auto_error_category,notes,author_category,target_description,choice_description,author_note
po_000005,partial_observability,no_coord_mirror,Small green sphere.,obj_1,obj_2,L_test_direct_last_api,0.0,ambiguous,underspecified,,underspecified_distractor,"obj_1: small green sphere at row 3, column 2","obj_2: small green sphere at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000005,partial_observability,no_coord_mirror,Small green sphere.,obj_1,obj_2,L_test_strict_last_api,0.0,ambiguous,underspecified,,underspecified_distractor,"obj_1: small green sphere at row 3, column 2","obj_2: small green sphere at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000023,partial_observability,no_coord_mirror,It’s a small blue sphere.,obj_1,obj_2,L_test_direct_last_api,0.0,ambiguous,underspecified,,underspecified_distractor,"obj_1: small blue sphere at row 3, column 2","obj_2: small blue sphere at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000023,partial_observability,no_coord_mirror,It’s a small blue sphere.,obj_1,obj_2,L_test_strict_last_api,0.0,ambiguous,underspecified,,underspecified_distractor,"obj_1: small blue sphere at row 3, column 2","obj_2: small blue sphere at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000031,partial_observability,no_coord_mirror,It’s a small green sphere.,obj_1,obj_2,L_test_direct_last_api,0.0,ambiguous,underspecified,,underspecified_distractor,"obj_1: small green sphere at row 3, column 2","obj_2: small green sphere at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000031,partial_observability,no_coord_mirror,It’s a small green sphere.,obj_1,obj_2,L_test_strict_last_api,0.0,ambiguous,underspecified,,underspecified_distractor,"obj_1: small green sphere at row 3, column 2","obj_2: small green sphere at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000027,partial_observability,no_coord_mirror,It’s a large red cylinder.,obj_1,obj_2,L_test_direct_last_api,0.9,attribute,listener_misparse_or_other,,underspecified_distractor,"obj_1: large red cylinder at row 3, column 2","obj_2: large red cylinder at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000027,partial_observability,no_coord_mirror,It’s a large red cylinder.,obj_1,obj_2,L_test_strict_last_api,0.9,attribute,listener_misparse_or_other,,underspecified_distractor,"obj_1: large red cylinder at row 3, column 2","obj_2: large red cylinder at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000049,partial_observability,no_coord_mirror,It’s a small blue cylinder.,obj_1,obj_2,L_test_careful_api,1.0,other,listener_misparse_or_other,,underspecified_distractor,"obj_1: small blue cylinder at row 3, column 2","obj_2: small blue cylinder at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000048,partial_observability,no_coord_mirror,It’s a small green sphere.,obj_1,obj_2,L_test_careful_api,1.0,other,listener_misparse_or_other,,underspecified_distractor,"obj_1: small green sphere at row 3, column 2","obj_2: small green sphere at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000048,partial_observability,no_coord_mirror,It’s a small green sphere.,obj_1,obj_2,L_test_strict_last_api,0.9,attribute,listener_misparse_or_other,,underspecified_distractor,"obj_1: small green sphere at row 3, column 2","obj_2: small green sphere at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000028,partial_observability,no_coord_mirror,Small blue cylinder.,obj_1,obj_2,L_test_direct_last_api,0.9,attribute,listener_misparse_or_other,,underspecified_distractor,"obj_1: small blue cylinder at row 3, column 2","obj_2: small blue cylinder at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000028,partial_observability,no_coord_mirror,Small blue cylinder.,obj_1,obj_2,L_test_careful_api,1.0,other,listener_misparse_or_other,,underspecified_distractor,"obj_1: small blue cylinder at row 3, column 2","obj_2: small blue cylinder at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000028,partial_observability,no_coord_mirror,Small blue cylinder.,obj_1,obj_2,L_test_strict_last_api,0.9,attribute,listener_misparse_or_other,,underspecified_distractor,"obj_1: small blue cylinder at row 3, column 2","obj_2: small blue cylinder at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000001,partial_observability,no_coord_mirror,It’s a small blue cube.,obj_1,obj_2,L_test_direct_last_api,0.9,attribute,listener_misparse_or_other,,underspecified_distractor,"obj_1: small blue cube at row 3, column 2","obj_2: small blue cube at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000001,partial_observability,no_coord_mirror,It’s a small blue cube.,obj_1,obj_2,L_test_careful_api,1.0,other,listener_misparse_or_other,,underspecified_distractor,"obj_1: small blue cube at row 3, column 2","obj_2: small blue cube at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000001,partial_observability,no_coord_mirror,It’s a small blue cube.,obj_1,obj_2,L_test_strict_last_api,0.9,attribute,listener_misparse_or_other,,underspecified_distractor,"obj_1: small blue cube at row 3, column 2","obj_2: small blue cube at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000026,partial_observability,no_coord_mirror,Large blue cube.,obj_1,obj_2,L_test_direct_last_api,0.0,ambiguous,underspecified,,underspecified_distractor,"obj_1: large blue cube at row 3, column 2","obj_2: large blue cube at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000026,partial_observability,no_coord_mirror,Large blue cube.,obj_1,obj_2,L_test_strict_last_api,0.0,ambiguous,underspecified,,underspecified_distractor,"obj_1: large blue cube at row 3, column 2","obj_2: large blue cube at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000018,partial_observability,no_coord_mirror,Small red sphere.,obj_1,obj_2,L_test_direct_last_api,0.0,ambiguous,underspecified,,underspecified_distractor,"obj_1: small red sphere at row 3, column 2","obj_2: small red sphere at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000018,partial_observability,no_coord_mirror,Small red sphere.,obj_1,obj_2,L_test_strict_last_api,0.0,ambiguous,underspecified,,underspecified_distractor,"obj_1: small red sphere at row 3, column 2","obj_2: small red sphere at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000037,partial_observability,no_coord_mirror,It’s a large red sphere.,obj_1,obj_2,L_test_direct_last_api,0.9,attribute,listener_misparse_or_other,,underspecified_distractor,"obj_1: large red sphere at row 3, column 2","obj_2: large red sphere at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000037,partial_observability,no_coord_mirror,It’s a large red sphere.,obj_1,obj_2,L_test_strict_last_api,0.9,attribute,listener_misparse_or_other,,underspecified_distractor,"obj_1: large red sphere at row 3, column 2","obj_2: large red sphere at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000008,partial_observability,no_coord_mirror,Small blue cube.,obj_1,obj_2,L_test_direct_last_api,0.0,ambiguous,underspecified,,underspecified_distractor,"obj_1: small blue cube at row 3, column 2","obj_2: small blue cube at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
