scene_id,scenario_type,method,message,target_id,choice_id,listener,confidence,reason_code,auto_error_category,notes
ps_000043,perspective_shift,hybrid_local_mirror_api_eval,Small yellow sphere.,obj_1,obj_2,L_test_direct_last_api,0.0,attribute,underspecified,
ps_000043,perspective_shift,hybrid_local_mirror_api_eval,Small yellow sphere.,obj_1,obj_2,L_test_careful_api,1.0,other,underspecified,
ps_000043,perspective_shift,hybrid_local_mirror_api_eval,Small yellow sphere.,obj_1,obj_2,L_test_strict_last_api,0.0,position,underspecified,
ps_000047,perspective_shift,hybrid_local_mirror_api_eval,"It’s the leftmost green sphere, below the top row.",obj_1,obj_2,L_test_careful_api,0.0,other,perspective_error,
ps_000041,perspective_shift,hybrid_local_mirror_api_eval,Find the blue sphere that’s left of the large yellow cone.,obj_1,obj_2,L_test_direct_last_api,0.9,relation,perspective_error,
ps_000041,perspective_shift,hybrid_local_mirror_api_eval,Find the blue sphere that’s left of the large yellow cone.,obj_1,obj_2,L_test_careful_api,1.0,other,perspective_error,
ps_000041,perspective_shift,hybrid_local_mirror_api_eval,Find the blue sphere that’s left of the large yellow cone.,obj_1,obj_2,L_test_strict_last_api,0.9,relation,perspective_error,
ps_000044,perspective_shift,hybrid_local_mirror_api_eval,It’s a large blue sphere.,obj_1,obj_2,L_test_direct_last_api,0.0,ambiguous,underspecified,
ps_000044,perspective_shift,hybrid_local_mirror_api_eval,It’s a large blue sphere.,obj_1,obj_2,L_test_strict_last_api,0.0,ambiguous,underspecified,
rr_000033,relational_reference,hybrid_local_mirror_api_eval,Small orange cone.,obj_1,obj_3,L_test_direct_last_api,0.0,ambiguous,underspecified,
rr_000033,relational_reference,hybrid_local_mirror_api_eval,Small orange cone.,obj_1,obj_3,L_test_careful_api,0.0,other,underspecified,
rr_000033,relational_reference,hybrid_local_mirror_api_eval,Small orange cone.,obj_1,obj_3,L_test_strict_last_api,0.0,ambiguous,underspecified,
ps_000042,perspective_shift,hybrid_local_mirror_api_eval,The blue sphere is the leftmost object in the scene.,obj_1,obj_2,L_test_careful_api,0.9,other,perspective_error,
ps_000049,perspective_shift,hybrid_local_mirror_api_eval,It’s a large yellow cube.,obj_1,obj_2,L_test_strict_last_api,0.0,ambiguous,underspecified,
